link, likes, dislikes, level, accepted, submissions, acceptance_rate
https://leetcode.com/problems/two-sum, 28858, 924, Easy, 5875606, 12187924, 0.48
https://leetcode.com/problems/add-two-numbers, 16185, 3464, Medium, 2485597, 6578107, 0.38
https://leetcode.com/problems/longest-substring-without-repeating-characters, 21030, 943, Medium, 2935411, 8956418, 0.33
https://leetcode.com/problems/median-of-two-sorted-arrays, 14713, 1852, Hard, 1241990, 3700313, 0.34
https://leetcode.com/problems/longest-palindromic-substring, 15730, 925, Medium, 1670684, 5278682, 0.32
https://leetcode.com/problems/zigzag-conversion, 3291, 7687, Medium, 707031, 1732390, 0.41
https://leetcode.com/problems/reverse-integer, 6504, 9229, Medium, 1935216, 7312912, 0.26
https://leetcode.com/problems/string-to-integer-atoi, 1329, 3744, Medium, 931780, 5668513, 0.16
https://leetcode.com/problems/palindrome-number, 5045, 2011, Easy, 1813498, 3482824, 0.52
https://leetcode.com/problems/regular-expression-matching, 7475, 1058, Hard, 639634, 2270682, 0.28
https://leetcode.com/problems/container-with-most-water, 14183, 854, Medium, 1283049, 2404744, 0.53
https://leetcode.com/problems/integer-to-roman, 2749, 3779, Medium, 626707, 1063625, 0.59
https://leetcode.com/problems/roman-to-integer, 3053, 215, Easy, 1362602, 2357072, 0.58
https://leetcode.com/problems/longest-common-prefix, 6806, 2766, Easy, 1407836, 3628250, 0.39
https://leetcode.com/problems/3sum, 15801, 1514, Medium, 1745725, 5724105, 0.3
https://leetcode.com/problems/3sum-closest, 5166, 229, Medium, 740842, 1575984, 0.47
https://leetcode.com/problems/letter-combinations-of-a-phone-number, 8824, 628, Medium, 1077746, 2038861, 0.53
https://leetcode.com/problems/4sum, 5493, 631, Medium, 537309, 1452926, 0.37
https://leetcode.com/problems/remove-nth-node-from-end-of-list, 8638, 411, Medium, 1225290, 3244261, 0.38
https://leetcode.com/problems/valid-parentheses, 11062, 463, Easy, 1942632, 4783604, 0.41
https://leetcode.com/problems/merge-two-sorted-lists, 10366, 985, Easy, 1918608, 3239778, 0.59
https://leetcode.com/problems/generate-parentheses, 11508, 448, Medium, 967863, 1397806, 0.69
https://leetcode.com/problems/merge-k-sorted-lists, 10250, 423, Hard, 1124128, 2452221, 0.46
https://leetcode.com/problems/swap-nodes-in-pairs, 5530, 268, Medium, 765213, 1343179, 0.57
https://leetcode.com/problems/reverse-nodes-in-k-group, 6178, 469, Hard, 466610, 933990, 0.5
https://leetcode.com/problems/remove-duplicates-from-sorted-array, 5731, 9240, Easy, 1924174, 3996643, 0.48
https://leetcode.com/problems/remove-element, 3124, 4780, Easy, 1148334, 2260081, 0.51
https://leetcode.com/problems/implement-strstr, 3483, 3274, Easy, 1134123, 3179992, 0.36
https://leetcode.com/problems/divide-two-integers, 2489, 8829, Medium, 442805, 2596463, 0.17
https://leetcode.com/problems/substring-with-concatenation-of-all-words, 1721, 1756, Hard, 239957, 866240, 0.28
https://leetcode.com/problems/next-permutation, 8667, 2926, Medium, 693338, 1968246, 0.35
https://leetcode.com/problems/longest-valid-parentheses, 7003, 241, Hard, 452575, 1459150, 0.31
https://leetcode.com/problems/search-in-rotated-sorted-array, 12394, 829, Medium, 1319578, 3530345, 0.37
https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array, 9139, 267, Medium, 974938, 2465606, 0.4
https://leetcode.com/problems/search-insert-position, 6609, 377, Easy, 1234378, 2901854, 0.43
https://leetcode.com/problems/valid-sudoku, 4372, 667, Medium, 659548, 1214950, 0.54
https://leetcode.com/problems/sudoku-solver, 4509, 139, Hard, 320847, 608365, 0.53
https://leetcode.com/problems/count-and-say, 1159, 3114, Medium, 592730, 1232028, 0.48
https://leetcode.com/problems/combination-sum, 8932, 206, Medium, 951759, 1491595, 0.64
https://leetcode.com/problems/combination-sum-ii, 4463, 121, Medium, 508460, 978397, 0.52
https://leetcode.com/problems/first-missing-positive, 8414, 1241, Hard, 620884, 1743653, 0.36
https://leetcode.com/problems/trapping-rain-water, 16481, 235, Hard, 1014507, 1827114, 0.56
https://leetcode.com/problems/multiply-strings, 3946, 1573, Medium, 475323, 1275603, 0.37
https://leetcode.com/problems/wildcard-matching, 4184, 185, Hard, 360841, 1369043, 0.26
https://leetcode.com/problems/jump-game-ii, 7091, 263, Medium, 533970, 1472316, 0.36
https://leetcode.com/problems/permutations, 9005, 171, Medium, 1055405, 1483461, 0.71
https://leetcode.com/problems/permutations-ii, 4390, 90, Medium, 563672, 1059709, 0.53
